source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]
Sample 1	Homo sapiens	fibroblasts	not applicable	not applicable	not applicable	1	run 1	proteomic profiling by mass spectrometry	1	20220613_CNB_SIRT2_Acetyl-IP_0HPI_0uM_Rep1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 2	Homo sapiens	fibroblasts	not applicable	not applicable	not applicable	1	run 2	proteomic profiling by mass spectrometry	2	20220613_CNB_SIRT2_Acetyl-IP_0HPI_0uM_Rep2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 3	Homo sapiens	fibroblasts	not applicable	not applicable	not applicable	1	run 3	proteomic profiling by mass spectrometry	1	20220613_CNB_SIRT2_Acetyl-IP_0HPI_25uM_Rep1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 4	Homo sapiens	fibroblasts	not applicable	not applicable	not applicable	1	run 4	proteomic profiling by mass spectrometry	2	20220613_CNB_SIRT2_Acetyl-IP_0HPI_25uM_Rep2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 5	Homo sapiens	fibroblasts	not applicable	not applicable	not applicable	2	run 5	proteomic profiling by mass spectrometry	1	20220613_CNB_SIRT2_Acetyl-IP_12HPI_0uM_Rep1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 6	Homo sapiens	fibroblasts	not applicable	not applicable	not applicable	2	run 6	proteomic profiling by mass spectrometry	2	20220613_CNB_SIRT2_Acetyl-IP_12HPI_0uM_Rep2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 7	Homo sapiens	fibroblasts	not applicable	not applicable	not applicable	2	run 7	proteomic profiling by mass spectrometry	1	20220613_CNB_SIRT2_Acetyl-IP_12HPI_25uM_Rep1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 8	Homo sapiens	fibroblasts	not applicable	not applicable	not applicable	2	run 8	proteomic profiling by mass spectrometry	2	20220613_CNB_SIRT2_Acetyl-IP_12HPI_25uM_Rep2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 9	Homo sapiens	fibroblasts	not applicable	not applicable	not applicable	3	run 9	proteomic profiling by mass spectrometry	1	20220613_CNB_SIRT2_Acetyl-IP_24HPI_0uM_Rep1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 10	Homo sapiens	fibroblasts	not applicable	not applicable	not applicable	3	run 10	proteomic profiling by mass spectrometry	2	20220613_CNB_SIRT2_Acetyl-IP_24HPI_0uM_Rep2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 11	Homo sapiens	fibroblasts	not applicable	not applicable	not applicable	3	run 11	proteomic profiling by mass spectrometry	1	20220613_CNB_SIRT2_Acetyl-IP_24HPI_25uM_Rep1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 12	Homo sapiens	fibroblasts	not applicable	not applicable	not applicable	3	run 12	proteomic profiling by mass spectrometry	2	20220613_CNB_SIRT2_Acetyl-IP_24HPI_25uM_Rep2.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF-X;AC=MS:1002877	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
