source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[culture medium]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[depletion]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[fractionation method]	comment[acquisition date]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell line]
Prot-HCC1143	Homo sapiens	breast	epithelial cell	breast ductal carcinoma	cell line	HCC1143	CVCL_1245	HCC1143	breast	Roswell Park Memorial Institute 1640 Medium	adult	52Y	female	European ancestry	not available	no depletion	1	20130328_EXQ1_MiBa_SA_HCC1143	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	25 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not applicable	2013-03-29	1	1	20130328_EXQ1_MiBa_SA_HCC1143.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	HCC1143
Prot-HCC1937	Homo sapiens	breast	epithelial cell	breast ductal carcinoma	cell line	HCC1937	CVCL_0290	HCC1937	breast	Roswell Park Memorial Institute 1640 Medium	adult	24Y	female	European ancestry	not available	no depletion	1	20130328_EXQ1_MiBa_SA_HCC1937	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	not applicable	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	25 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not applicable	2013-03-29	1	1	20130328_EXQ1_MiBa_SA_HCC1937.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	HCC1937
Prot-HCT116-1	Homo sapiens	colon	epithelial cell	colon carcinoma	cell line	HCT116	CVCL_0291	HCT 116	colon	Dulbecco's Modified Eagle Medium	adult	48Y	male	European ancestry	not available	no depletion	1	20120611_EXQ1_MiBa_SA_HCT116_SILAC_1	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	SILAC heavy	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Fixed	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Fixed	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	25 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not applicable	2012-06-11	1	1	20120611_EXQ1_MiBa_SA_HCT116_SILAC_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	HCT116
Prot-HCT116-2	Homo sapiens	colon	epithelial cell	colon carcinoma	cell line	HCT116	CVCL_0291	HCT 116	colon	Dulbecco's Modified Eagle Medium	adult	48Y	male	European ancestry	not available	no depletion	2	20120611_EXQ1_MiBa_SA_HCT116_SILAC_2	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	SILAC heavy	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Fixed	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Fixed	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	25 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not applicable	2012-06-12	1	1	20120611_EXQ1_MiBa_SA_HCT116_SILAC_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	HCT116
Prot-JY-1	Homo sapiens	blood	B cell	normal	cell line	JY cell	CVCL_0108	JY	peripheral blood	Roswell Park Memorial Institute 1640 Medium	not available	not available	male	European ancestry	not available	no depletion	1	20120611_EXQ1_MiBa_SA_Jy_SILAC_1	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	SILAC heavy	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Fixed	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Fixed	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	25 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not applicable	2012-06-11	1	1	20120611_EXQ1_MiBa_SA_Jy_SILAC_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	JY cell
Prot-JY-2	Homo sapiens	blood	B cell	normal	cell line	JY cell	CVCL_0108	JY	peripheral blood	Roswell Park Memorial Institute 1640 Medium	not available	not available	male	European ancestry	not available	no depletion	2	20120611_EXQ1_MiBa_SA_Jy_SILAC_2	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	SILAC heavy	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Label:13C(6)15N(2);AC=UNIMOD:259;TA=K;MT=Fixed	NT=Label:13C(6)15N(4);AC=UNIMOD:267;TA=R;MT=Fixed	not available	not available	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	25 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not applicable	2012-06-11	1	1	20120611_EXQ1_MiBa_SA_Jy_SILAC_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	JY cell
