source name	characteristics[organism]	characteristics[disease]	characteristics[organism part]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[fraction identifier]	comment[label]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[data file]	comment[technical replicate]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
WT_1	danio rerio	hepatic steatosis	liver	Adult	1	WT_1	proteomic profiling by mass spectrometry	1	label free sample	NT=data-dependent acquisition;AC=PRIDE:0000627	Dionex UltiMate 3000	NT=Trypsin;AC=MS:1001251	CTRL-01.raw	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
WT_2	danio rerio	hepatic steatosis	liver	Adult	2	WT_2	proteomic profiling by mass spectrometry	1	label free sample	NT=data-dependent acquisition;AC=PRIDE:0000627	Dionex UltiMate 3000	NT=Trypsin;AC=MS:1001251	CTRL-02.raw	2	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
WT_3	danio rerio	hepatic steatosis	liver	Adult	3	WT_3	proteomic profiling by mass spectrometry	1	label free sample	NT=data-dependent acquisition;AC=PRIDE:0000627	Dionex UltiMate 3000	NT=Trypsin;AC=MS:1001251	CTRL-03.raw	3	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
asgr1a_1	danio rerio	hepatic steatosis	liver	Adult	1	asgr1a_1	proteomic profiling by mass spectrometry	1	label free sample	NT=data-dependent acquisition;AC=PRIDE:0000627	Dionex UltiMate 3000	NT=Trypsin;AC=MS:1001251	MUT-01.raw	1	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
asgr1a_2	danio rerio	hepatic steatosis	liver	Adult	2	asgr1a_2	proteomic profiling by mass spectrometry	1	label free sample	NT=data-dependent acquisition;AC=PRIDE:0000627	Dionex UltiMate 3000	NT=Trypsin;AC=MS:1001251	MUT-02.raw	2	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
asgr1a_3	danio rerio	hepatic steatosis	liver	Adult	3	asgr1a_3	proteomic profiling by mass spectrometry	1	label free sample	NT=data-dependent acquisition;AC=PRIDE:0000627	Dionex UltiMate 3000	NT=Trypsin;AC=MS:1001251	MUT-03.raw	3	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
