source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[medium]	characteristics[temperature]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[label]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
runB_H3	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H3	not applicable	Prokaryotic cell	2	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runB_H3	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_024_S887352_B_H3_AN_H3.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runC_H3	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H3	not applicable	Prokaryotic cell	3	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runC_H3	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_012_S887364_C_H3_AN_H3.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runA_H4	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H4	not applicable	Prokaryotic cell	1	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runA_H4	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_015_S887341_A_H4_AN_H4.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runB_H4	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H4	not applicable	Prokaryotic cell	2	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runB_H4	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_030_S887353_B_H4_AN_H4.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runC_H4	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H4	not applicable	Prokaryotic cell	3	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runC_H4	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_025_S887365_C_H4_AN_H4.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runA_H5	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H5	not applicable	Prokaryotic cell	1	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runA_H5	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_016_S887342_A_H5_AN_H5.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runB_H5	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H5	not applicable	Prokaryotic cell	2	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runB_H5	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_011_S887354_B_H5_AN_H5.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runC_H5	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H5	not applicable	Prokaryotic cell	3	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runC_H5	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_020_S887366_C_H5_AN_H5.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runA_H6	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H6	not applicable	Prokaryotic cell	1	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runA_H6	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_040_S887343_A_H6_AN_H6.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runB_H6	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H6	not applicable	Prokaryotic cell	2	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runB_H6	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_003_S887355_B_H6_AN_H6.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runC_H6	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H6	not applicable	Prokaryotic cell	3	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runC_H6	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_002_S887367_C_H6_AN_H6.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runA_H7	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H7	not applicable	Prokaryotic cell	1	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runA_H7	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_004_S887344_A_H7_AN_H7.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runB_H7	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H7	not applicable	Prokaryotic cell	2	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runB_H7	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_022_S887356_B_H7_AN_H7.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runC_H7	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H7	not applicable	Prokaryotic cell	3	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runC_H7	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_006_S887368_C_H7_AN_H7.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runA_H8	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H8	not applicable	Prokaryotic cell	1	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runA_H8	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_026_S887345_A_H8_AN_H8.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runB_H8	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H8	not applicable	Prokaryotic cell	2	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runB_H8	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_035_S887357_B_H8_AN_H8.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
runC_H8	Escherichia coli	Cell lysate	Escherichia coli K-12 Evolved with Bdellovibrio bacteriovorus lineage H8	not applicable	Prokaryotic cell	3	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	runC_H8	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250210_C37683_017_S887369_C_H8_AN_H8.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
