source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[biological replicate]	characteristics[enrichment process]	assay name	technology type	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[data file]	comment[instrument]	comment[cross-linker]	comment[dissociation method]	comment[collision energy]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[crosslink enrichment method]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]
Xpl1_007692	Arabidopsis thaliana	not applicable	not applicable	not applicable	recombinant protein	1	enrichment of cross-linked peptides	Xpl1_007692	proteomic profiling by mass spectrometry	1	1	label free sample	Xpl1_007692.raw	Orbitrap Exploris 480	NT=DSBU;AC=XLMOD:02011;CL=yes;TA=K,S,T,Y,nterm;MH=85.05276381;ML=111.03202835	HCD	22% NCE;27% NCE;30% NCE	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Xpl1_007693	Arabidopsis thaliana	not applicable	not applicable	not applicable	recombinant protein	1	enrichment of cross-linked peptides	Xpl1_007693	proteomic profiling by mass spectrometry	1	2	label free sample	Xpl1_007693.raw	Orbitrap Exploris 480	NT=DSBU;AC=XLMOD:02011;CL=yes;TA=K,S,T,Y,nterm;MH=85.05276381;ML=111.03202835	HCD	22% NCE;27% NCE;30% NCE	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Xpl1_007694	Arabidopsis thaliana	not applicable	not applicable	not applicable	recombinant protein	1	enrichment of cross-linked peptides	Xpl1_007694	proteomic profiling by mass spectrometry	1	3	label free sample	Xpl1_007694.raw	Orbitrap Exploris 480	NT=DSBU;AC=XLMOD:02011;CL=yes;TA=K,S,T,Y,nterm;MH=85.05276381;ML=111.03202835	HCD	22% NCE;27% NCE;30% NCE	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	not applicable	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
