source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]
Sample 21	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 21	proteomic profiling by mass spectrometry	1	20191101_SL_QexXn2_1023_22cmr2um_FRED_DMSO2_RT_HpH_5.raw	5	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 22	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 22	proteomic profiling by mass spectrometry	1	20191101_SL_QexXn2_1023_22cmr2um_FRED_DMSO2_RT_HpH_6.raw	6	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 23	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 23	proteomic profiling by mass spectrometry	1	20191101_SL_QexXn2_1023_22cmr2um_FRED_DMSO2_RT_HpH_7.raw	7	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 24	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 24	proteomic profiling by mass spectrometry	1	20191101_SL_QexXn2_1023_22cmr2um_FRED_DMSO2_RT_HpH_8.raw	8	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 25	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 25	proteomic profiling by mass spectrometry	1	20191101_SL_QexXn2_1023_22cmr2um_FRED_DMSO2_RT_HpH_9.raw	9	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 26	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 26	proteomic profiling by mass spectrometry	1	20191101_SL_QexXn2_1023_22cmr2um_FRED_DMSO2_RT_HpH_10.raw	10	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 27	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 27	proteomic profiling by mass spectrometry	1	20191101_SL_QexXn2_1023_22cmr2um_FRED_DMSO2_RT_HpH_11.raw	11	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 28	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 28	proteomic profiling by mass spectrometry	1	20191101_SL_QexXn2_1023_22cmr2um_FRED_DMSO2_RT_HpH_12.raw	12	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 29	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 29	proteomic profiling by mass spectrometry	1	20191101_SL_QexXn2_1023_22cmr2um_FRED_DMSO2_RT_HpH_13.raw	13	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 30	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 30	proteomic profiling by mass spectrometry	1	20191101_SL_QexXn2_1023_22cmr2um_FRED_DMSO2_RT_HpH_14.raw	14	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 31	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 31	proteomic profiling by mass spectrometry	1	20191101_SL_QexXn2_1023_22cmr2um_FRED_DMSO2_RT_HpH_15.raw	15	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 32	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 32	proteomic profiling by mass spectrometry	1	20191101_SL_QexXn2_1023_22cmr2um_FRED_DMSO2_RT_HpH_16.raw	16	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001252	NT=Q Exactive HF;AC=MS:1002524	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:36	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:122	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 33	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 33	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_DMSO3_HpH_RT_1.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001253	NT=Q Exactive HF;AC=MS:1002525	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:37	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:123	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 34	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 34	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_DMSO3_HpH_RT_2.raw	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001254	NT=Q Exactive HF;AC=MS:1002526	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:38	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:124	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 35	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 35	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_DMSO3_HpH_RT_3.raw	3	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001255	NT=Q Exactive HF;AC=MS:1002527	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:39	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:125	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 36	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 36	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_DMSO3_HpH_RT_4.raw	4	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001256	NT=Q Exactive HF;AC=MS:1002528	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:40	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:126	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 37	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 37	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_DMSO3_HpH_RT_5.raw	5	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001257	NT=Q Exactive HF;AC=MS:1002529	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:41	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:127	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 38	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 38	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_DMSO3_HpH_RT_6.raw	6	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001258	NT=Q Exactive HF;AC=MS:1002530	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:42	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:128	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 39	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 39	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_DMSO3_HpH_RT_7.raw	7	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001259	NT=Q Exactive HF;AC=MS:1002531	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:43	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:129	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 40	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 40	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_DMSO3_HpH_RT_8.raw	8	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001260	NT=Q Exactive HF;AC=MS:1002532	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:44	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:130	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 41	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 41	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_DMSO3_HpH_RT_9.raw	9	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001261	NT=Q Exactive HF;AC=MS:1002533	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:45	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:131	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 42	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 42	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_DMSO3_HpH_RT_10.raw	10	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001262	NT=Q Exactive HF;AC=MS:1002534	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:46	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:132	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 43	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 43	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_DMSO3_HpH_RT_11.raw	11	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001263	NT=Q Exactive HF;AC=MS:1002535	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:47	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:133	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 44	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 44	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_DMSO3_HpH_RT_12.raw	12	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001264	NT=Q Exactive HF;AC=MS:1002536	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:48	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:134	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 45	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 45	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_DMSO3_HpH_RT_13.raw	13	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001265	NT=Q Exactive HF;AC=MS:1002537	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:49	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:135	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 46	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 46	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_DMSO3_HpH_RT_14.raw	14	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001266	NT=Q Exactive HF;AC=MS:1002538	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:50	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:136	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 47	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 47	proteomic profiling by mass spectrometry	1	20200101_SL_QexXn2_1216_22cmr2um_Fred_DMSO3_HpH_RT_15.raw	15	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001267	NT=Q Exactive HF;AC=MS:1002539	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:51	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:137	NT=Glu->pyro-Glu;MT=Variable;TA=E;AC=UNIMOD:27	NT=Gln->pyro-Glu;MT=Variable;TA=QC;AC=UNIMOD:28	NT=Deamidated;MT=Variable;TA=NQ;AC=UNIMOD:7	NT=LRGG;MT=Variable;TA=K;AC=UNIMOD:535	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
