source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	assay name	technology type	comment[cleavage agent details]	comment[cleavage agent details]	comment[data file]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[technical replicate]	comment[tool metadata]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
T4	Equus caballus	oocyte	11	oocyte	not available	not applicable	T4	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064363_AurEl8_PM8_CMB-1696_Treatment_rep1_15_BC7_1_11301.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	1	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T5	Equus caballus	oocyte	12	oocyte	not available	not applicable	T5	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064365_AurEl8_PM8_CMB-1696_Treatment_rep2_27_BE4_1_11303.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T6	Equus caballus	oocyte	13	oocyte	not available	not applicable	T6	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064367_AurEl8_PM8_CMB-1696_Treatment_rep2_30_BE7_1_11305.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T7	Equus caballus	oocyte	14	oocyte	not available	not applicable	T7	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064369_AurEl8_PM8_CMB-1696_Treatment_rep2_28_BE5_1_11307.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C8	Equus caballus	oocyte	15	oocyte	not available	not applicable	C8	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064371_AurEl8_PM8_CMB-1696_Control_rep2_19_BD4_1_11309.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C9	Equus caballus	oocyte	16	oocyte	not available	not applicable	C9	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064375_AurEl8_PM8_CMB-1696_Control_rep2_17_BD2_1_11313.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C10	Equus caballus	oocyte	17	oocyte	not available	not applicable	C10	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064377_AurEl8_PM8_CMB-1696_Control_rep2_20_BD5_1_11315.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T8	Equus caballus	oocyte	18	oocyte	not available	not applicable	T8	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064401_AurEl8_PM8_CMB-1696_Treatment_rep3_47_BG8_1_11339.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C11	Equus caballus	oocyte	19	oocyte	not available	not applicable	C11	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064403_AurEl8_PM8_CMB-1696_Control_rep3_37_BF6_1_11341.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T9	Equus caballus	oocyte	20	oocyte	not available	not applicable	T9	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064405_AurEl8_PM8_CMB-1696_Treatment_rep3_46_BG7_1_11343.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
