source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	assay name	technology type	comment[cleavage agent details]	comment[cleavage agent details]	comment[data file]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[technical replicate]	comment[tool metadata]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
T15	Equus caballus	oocyte	31	oocyte	not available	not applicable	T15	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064389_AurEl8_PM8_CMB-1696_Treatment_rep2_25_BE2_1_11327.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C17	Equus caballus	oocyte	32	oocyte	not available	not applicable	C17	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064391_AurEl8_PM8_CMB-1696_Control_rep2_23_BD8_1_11329.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T16	Equus caballus	oocyte	33	oocyte	not available	not applicable	T16	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064393_AurEl8_PM8_CMB-1696_Treatment_rep2_31_BE8_1_11331.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	2	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T17	Equus caballus	oocyte	34	oocyte	not available	not applicable	T17	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064397_AurEl8_PM8_CMB-1696_Treatment_rep3_49_BG10_1_11335.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C18	Equus caballus	oocyte	35	oocyte	not available	not applicable	C18	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064429_AurEl8_PM8_CMB-1696_Control_rep3_39_BF8_1_11367.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C19	Equus caballus	oocyte	36	oocyte	not available	not applicable	C19	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064407_AurEl8_PM8_CMB-1696_Control_rep3_35_BF4_1_11345.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T18	Equus caballus	oocyte	37	oocyte	not available	not applicable	T18	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064419_AurEl8_PM8_CMB-1696_Treatment_rep3_48_BG9_1_11357.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C20	Equus caballus	oocyte	38	oocyte	not available	not applicable	C20	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064421_AurEl8_PM8_CMB-1696_Control_rep3_33_BF2_1_11359.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C21	Equus caballus	oocyte	39	oocyte	not available	not applicable	C21	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064423_AurEl8_PM8_CMB-1696_Control_rep3_38_BF7_1_11361.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C22	Equus caballus	oocyte	40	oocyte	not available	not applicable	C22	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064431_AurEl8_PM8_CMB-1696_Control_rep3_34_BF3_1_11369.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T19	Equus caballus	oocyte	41	oocyte	not available	not applicable	T19	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064433_AurEl8_PM8_CMB-1696_Treatment_rep3_51_BG12_1_11371.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T20	Equus caballus	oocyte	42	oocyte	not available	not applicable	T20	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064399_AurEl8_PM8_CMB-1696_Treatment_rep3_44_BG5_1_11337.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
T21	Equus caballus	oocyte	43	oocyte	not available	not applicable	T21	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064409_AurEl8_PM8_CMB-1696_Treatment_rep3_43_BG4_1_11347.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
C23	Equus caballus	oocyte	44	oocyte	not available	not applicable	C23	proteomic profiling by mass spectrometry	NT=Trypsin/P	NT=Lys-C/P	T064413_AurEl8_PM8_CMB-1696_Control_rep3_36_BF5_1_11351.d.zip	1	20 ppm	timsTOF SCP	label free sample	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	NT=Met-loss; AC=765; MT=Variable; PP=Protein N-term;	NT=Acetyl; AC=1; MT=Variable; PP=Protein N-term;	15 ppm	3	lesSDRF v0.1.0	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
