source name	characteristics[biological replicate]	characteristics[cell type]	characteristics[organism part]	characteristics[disease]	characteristics[sample type]	characteristics[organism]	characteristics[organism]	characteristics[organism]	assay name	technology type	comment[fraction identifier]	comment[cleavage agent details]	comment[data file]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]
SB_B_11	2	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	48 hours of growth on DEP	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_11.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_12	3	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	48 hours of growth on DEP	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_12.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_13	1	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	6 hours of growth on protocatechuate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_13.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_14	2	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	6 hours of growth on protocatechuate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_14.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_15	3	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	6 hours of growth on protocatechuate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_15.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_16	1	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	24 hours of growth on protocatechuate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_16.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_17	2	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	24 hours of growth on protocatechuate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_17.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_18	3	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	24 hours of growth on protocatechuate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_18.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_19	1	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	30 hours of growth on protocatechuate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_19.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_20	2	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	30 hours of growth on protocatechuate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_20.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
