source name	characteristics[biological replicate]	characteristics[cell type]	characteristics[organism part]	characteristics[disease]	characteristics[sample type]	characteristics[organism]	characteristics[organism]	characteristics[organism]	assay name	technology type	comment[fraction identifier]	comment[cleavage agent details]	comment[data file]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]
SB_B_21	3	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	30 hours of growth on protocatechuate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_21.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_22	1	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	48 hours of growth on protocatechuate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_22.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_23	2	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	48 hours of growth on protocatechuate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_23.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_24	3	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	48 hours of growth on protocatechuate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_24.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_25	1	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	6 hours of growth on succinate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_25.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_26	2	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	6 hours of growth on succinate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_26.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_27	3	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	6 hours of growth on succinate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_27.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_28	1	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	24 hours of growth on succinate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_28.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_29	2	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	24 hours of growth on succinate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_29.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
SB_B_30	3	not applicable	not applicable	not applicable	cell pellet	Microbacterium ginsengisoli	Pseudomonas canadensis	Pseudomonas taiwanensis	24 hours of growth on succinate	proteomic profiling by mass spectrometry	1	NT=Trypsin	SB_B_30.raw	0.1 Da	Orbitrap Fusion	label free sample	NT=CarbamidomethylDTT; AC=893; MT=Fixed; PP=Anywhere; TA=C	NT=Oxidation; AC=35; MT=Variable; PP=Anywhere; TA=M	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
