source name	characteristics[short name]	characteristics[sample frequency]	characteristics[date]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[label]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	factor value[sample frequency]
3D12Apr-2	3D12Apr-2	3 days	12-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	2	run F428283	proteomic profiling by mass spectrometry	F428283.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D12Apr-3	3D12Apr-3	3 days	12-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	3	run F428284	proteomic profiling by mass spectrometry	F428284.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D16Apr-1	3D16Apr-1	3 days	16-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	1	run F428285	proteomic profiling by mass spectrometry	F428285.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D16Apr-2	3D16Apr-2	3 days	16-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	2	run F428286	proteomic profiling by mass spectrometry	F428286.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D16Apr-3	3D16Apr-3	3 days	16-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	3	run F428287	proteomic profiling by mass spectrometry	F428287.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D1Apr-1	3D1Apr-1	3 days	1-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	1	run F428273	proteomic profiling by mass spectrometry	F428273.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D1Apr-2	3D1Apr-2	3 days	1-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	2	run F428274	proteomic profiling by mass spectrometry	F428274.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D1Apr-3	3D1Apr-3	3 days	1-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	3	run F428275	proteomic profiling by mass spectrometry	F428275.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D20Mar-1	3D20Mar-1	3 days	20-Mar	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	1	run F428288	proteomic profiling by mass spectrometry	F428288.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D20Mar-2	3D20Mar-2	3 days	20-Mar	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	2	run F428289	proteomic profiling by mass spectrometry	F428289.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
