source name	characteristics[short name]	characteristics[sample frequency]	characteristics[date]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[label]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	factor value[sample frequency]
3D4Apr-2	3D4Apr-2	3 days	4-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	2	run F428277	proteomic profiling by mass spectrometry	F428277.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D4Apr-3	3D4Apr-3	3 days	4-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	3	run F428278	proteomic profiling by mass spectrometry	F428278.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D8Apr-1	3D8Apr-1	3 days	8-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	1	run F428279	proteomic profiling by mass spectrometry	F428279.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D8Apr-2	3D8Apr-2	3 days	8-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	2	run F428280	proteomic profiling by mass spectrometry	F428280.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3D8Apr-3	3D8Apr-3	3 days	8-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	3	run F428281	proteomic profiling by mass spectrometry	F428281.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3T-1	3T-1	3 days	29-Mar	Solanum lycopersicum	cultured cells	cultured cells	not applicableÕ	1	run F428185	proteomic profiling by mass spectrometry	F428185.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3T-2	3T-2	3 days	29-Mar	Solanum lycopersicum	cultured cells	cultured cells	not applicableÕ	2	run F428186	proteomic profiling by mass spectrometry	F428186.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
3T-3	3T-3	3 days	29-Mar	Solanum lycopersicum	cultured cells	cultured cells	not applicableÕ	3	run F428187	proteomic profiling by mass spectrometry	F428187.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	3 days
6D12Apr-1	6D12Apr-1	6 days	12-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	1	run F428303	proteomic profiling by mass spectrometry	F428303.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	6 days
6D12Apr-2	6D12Apr-2	6 days	12-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	2	run F428304	proteomic profiling by mass spectrometry	F428304.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	6 days
6D12Apr-3	6D12Apr-3	6 days	12-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	3	run F428305	proteomic profiling by mass spectrometry	F428305.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	6 days
6D16Apr-1	6D16Apr-1	6 days	16-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	1	run F428306	proteomic profiling by mass spectrometry	F428306.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	6 days
6D16Apr-2	6D16Apr-2	6 days	16-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	2	run F428307	proteomic profiling by mass spectrometry	F428307.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	6 days
6D16Apr-3	6D16Apr-3	6 days	16-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	3	run F428308	proteomic profiling by mass spectrometry	F428308.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	6 days
6D23Mar-1	6D23Mar-1	6 days	23-Mar	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	1	run F428309	proteomic profiling by mass spectrometry	F428309.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	6 days
6D23Mar-2	6D23Mar-2	6 days	23-Mar	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	2	run F428310	proteomic profiling by mass spectrometry	F428310.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	6 days
6D29Mar-1	6D29Mar-1	6 days	29-Mar	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	1	run F428311	proteomic profiling by mass spectrometry	F428311.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	6 days
6D29Mar-2	6D29Mar-2	6 days	29-Mar	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	2	run F428312	proteomic profiling by mass spectrometry	F428312.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	6 days
6D29Mar-3	6D29Mar-3	6 days	29-Mar	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	3	run F428313	proteomic profiling by mass spectrometry	F428313.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	6 days
6D4Apr-1	6D4Apr-1	6 days	4-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	1	run F428299	proteomic profiling by mass spectrometry	F428299.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	6 days
6D4Apr-2	6D4Apr-2	6 days	4-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	2	run F428301	proteomic profiling by mass spectrometry	F428301.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	6 days
6D4Apr-3	6D4Apr-3	6 days	4-Apr	Solanum lycopersicum	culture medium	culture medium	not applicableÕ	3	run F428302	proteomic profiling by mass spectrometry	F428302.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	6 days
6T-1	6T-1	6 days	29-Mar	Solanum lycopersicum	cultured cells	cultured cells	not applicableÕ	1	run F428190	proteomic profiling by mass spectrometry	F428190.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	6 days
6T-2	6T-2	6 days	29-Mar	Solanum lycopersicum	cultured cells	cultured cells	not applicableÕ	2	run F428191	proteomic profiling by mass spectrometry	F428191.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	6 days
6T-3	6T-3	6 days	29-Mar	Solanum lycopersicum	cultured cells	cultured cells	not applicableÕ	3	run F428192	proteomic profiling by mass spectrometry	F428192.raw	NT=label free sample	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Beta-methylthiolation;MT=Variable;TA=C;AC=UNIMOD:37	20 ppm	0.6 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	6 days
