source name	characteristics[organism]	characteristics[strain/breed]	characteristics[disease]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]
Sample 1	Crithidia fasciculata	Cf-C1	Wildtype	Whole cell	Single cell parasite	swimmers	Crithidia fasciculata Cf-C1	1	run 1	proteomic profiling by mass spectrometry	PovelonesM-19-G237-Swimmers-S1-QEP-2hr.raw	1	1	NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 2	Crithidia fasciculata	Cf-C1	Wildtype	Whole cell	Single cell parasite	swimmers	Crithidia fasciculata Cf-C1	2	run 2	proteomic profiling by mass spectrometry	PovelonesM-19-G237-Swimmers-S2-QEP-2hr.raw	1	1	NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 3	Crithidia fasciculata	Cf-C1	Wildtype	Whole cell	Single cell parasite	swimmers	Crithidia fasciculata Cf-C1	3	run 3	proteomic profiling by mass spectrometry	PovelonesM-19-G237-Swimmers-S3-QEP-2hr.raw	1	1	NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 4	Crithidia fasciculata	Cf-C1	Wildtype	Whole cell	Single cell parasite	adherent	Crithidia fasciculata Cf-C1	1	run 4	proteomic profiling by mass spectrometry	PovelonesM-19-G237-Adherent-A1-QEP-2hr.raw	1	1	NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 5	Crithidia fasciculata	Cf-C1	Wildtype	Whole cell	Single cell parasite	adherent	Crithidia fasciculata Cf-C1	2	run 5	proteomic profiling by mass spectrometry	PovelonesM-19-G237-Adherent-A2-QEP-2hr.raw	1	1	NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 6	Crithidia fasciculata	Cf-C1	Wildtype	Whole cell	Single cell parasite	adherent	Crithidia fasciculata Cf-C1	3	run 6	proteomic profiling by mass spectrometry	PovelonesM-19-G237-Adherent-A3-QEP-2hr.raw	1	1	NT=label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
