source name	characteristics[organism]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cell type]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[sample type]	characteristics[biological replicate]	characteristics[genotype]	characteristics[depletion]	characteristics[sample description]	assay name	technology type	sample name	comment[platform]	comment[data file]	comment[derived data file]	comment[derived data file]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[sample preparation batch]	comment[lc batch]	comment[well]	comment[gel stain]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[dvl2 construct]	factor value[treatment]	factor value[bioid sample group]
MMW3060P1_Biosample_1	Homo sapiens	HEK293 Flp-In T-REx	CVCL_U427	embryonic kidney cell	kidney	normal	not available	female	study sample	1	stable expression of DVL2 WT-BirA*	no depletion	BioID streptavidin-enriched gel fraction 11 from DVL2 WT-BirA*, control, Biosample 1, Plate 1	MMW3060A11LC3_C2_MMW3060A11LC3-40-128977	proteomic profiling by mass spectrometry	MMW3060_P1_11	LC-MS/MS	MMW3060A11LC3_C2_MMW3060A11LC3-40-128977.raw	MMW3060A11LC3_C2_F097241.mgf	MMW3060A11LC3_C2_F097241.mzid	data-dependent acquisition	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	label free sample	11	1	not available	gel electrophoresis	5 ppm	0.4 Da	not available	not available	NT=Phospho;MT=Variable;TA=S,T,Y;AC=Unimod:21	ion trap	plate 1	not available	C2	Imperial Protein Stain	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	DVL2 WT-BirA*	control	Biosample 1
MMW3060P1_Biosample_1	Homo sapiens	HEK293 Flp-In T-REx	CVCL_U427	embryonic kidney cell	kidney	normal	not available	female	study sample	1	stable expression of DVL2 WT-BirA*	no depletion	BioID streptavidin-enriched gel fraction 12 from DVL2 WT-BirA*, control, Biosample 1, Plate 1	MMW3060A12LC3_D2_MMW3060A12LC3-40-128978	proteomic profiling by mass spectrometry	MMW3060_P1_12	LC-MS/MS	MMW3060A12LC3_D2_MMW3060A12LC3-40-128978.raw	MMW3060A12LC3_D2_F097247.mgf	MMW3060A12LC3_D2_F097247.mzid	data-dependent acquisition	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	label free sample	12	1	not available	gel electrophoresis	5 ppm	0.4 Da	not available	not available	NT=Phospho;MT=Variable;TA=S,T,Y;AC=Unimod:21	ion trap	plate 1	not available	D2	Imperial Protein Stain	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	DVL2 WT-BirA*	control	Biosample 1
MMW3060P1_Biosample_1	Homo sapiens	HEK293 Flp-In T-REx	CVCL_U427	embryonic kidney cell	kidney	normal	not available	female	study sample	1	stable expression of DVL2 WT-BirA*	no depletion	BioID streptavidin-enriched gel fraction 13 from DVL2 WT-BirA*, control, Biosample 1, Plate 1	MMW3060A13LC3_E2_MMW3060A13LC3-40-128979	proteomic profiling by mass spectrometry	MMW3060_P1_13	LC-MS/MS	MMW3060A13LC3_E2_MMW3060A13LC3-40-128979.raw	MMW3060A13LC3_E2_F097255.mgf	MMW3060A13LC3_E2_F097255.mzid	data-dependent acquisition	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	label free sample	13	1	not available	gel electrophoresis	5 ppm	0.4 Da	not available	not available	NT=Phospho;MT=Variable;TA=S,T,Y;AC=Unimod:21	ion trap	plate 1	not available	E2	Imperial Protein Stain	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	DVL2 WT-BirA*	control	Biosample 1
MMW3060P1_Biosample_1	Homo sapiens	HEK293 Flp-In T-REx	CVCL_U427	embryonic kidney cell	kidney	normal	not available	female	study sample	1	stable expression of DVL2 WT-BirA*	no depletion	BioID streptavidin-enriched gel fraction 14 from DVL2 WT-BirA*, control, Biosample 1, Plate 1	MMW3060A14LC3_F2_MMW3060A14LC3-40-128980	proteomic profiling by mass spectrometry	MMW3060_P1_14	LC-MS/MS	MMW3060A14LC3_F2_MMW3060A14LC3-40-128980.raw	MMW3060A14LC3_F2_F097262.mgf	MMW3060A14LC3_F2_F097262.mzid	data-dependent acquisition	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	label free sample	14	1	not available	gel electrophoresis	5 ppm	0.4 Da	not available	not available	NT=Phospho;MT=Variable;TA=S,T,Y;AC=Unimod:21	ion trap	plate 1	not available	F2	Imperial Protein Stain	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	DVL2 WT-BirA*	control	Biosample 1
MMW3060P1_Biosample_1	Homo sapiens	HEK293 Flp-In T-REx	CVCL_U427	embryonic kidney cell	kidney	normal	not available	female	study sample	1	stable expression of DVL2 WT-BirA*	no depletion	BioID streptavidin-enriched gel fraction 15 from DVL2 WT-BirA*, control, Biosample 1, Plate 1	MMW3060A15LC3_G2_MMW3060A15LC3-40-128981	proteomic profiling by mass spectrometry	MMW3060_P1_15	LC-MS/MS	MMW3060A15LC3_G2_MMW3060A15LC3-40-128981.raw	MMW3060A15LC3_G2_F097267.mgf	MMW3060A15LC3_G2_F097267.mzid	data-dependent acquisition	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	label free sample	15	1	not available	gel electrophoresis	5 ppm	0.4 Da	not available	not available	NT=Phospho;MT=Variable;TA=S,T,Y;AC=Unimod:21	ion trap	plate 1	not available	G2	Imperial Protein Stain	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	DVL2 WT-BirA*	control	Biosample 1
MMW3060P1_Biosample_1	Homo sapiens	HEK293 Flp-In T-REx	CVCL_U427	embryonic kidney cell	kidney	normal	not available	female	study sample	1	stable expression of DVL2 WT-BirA*	no depletion	BioID streptavidin-enriched gel fraction 16 from DVL2 WT-BirA*, control, Biosample 1, Plate 1	MMW3060A16LC3_H2_MMW3060A16LC3-40-128982	proteomic profiling by mass spectrometry	MMW3060_P1_16	LC-MS/MS	MMW3060A16LC3_H2_MMW3060A16LC3-40-128982.raw	MMW3060A16LC3_H2_F097272.mgf	MMW3060A16LC3_H2_F097272.mzid	data-dependent acquisition	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	label free sample	16	1	not available	gel electrophoresis	5 ppm	0.4 Da	not available	not available	NT=Phospho;MT=Variable;TA=S,T,Y;AC=Unimod:21	ion trap	plate 1	not available	H2	Imperial Protein Stain	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	DVL2 WT-BirA*	control	Biosample 1
MMW3060P1_Biosample_1	Homo sapiens	HEK293 Flp-In T-REx	CVCL_U427	embryonic kidney cell	kidney	normal	not available	female	study sample	1	stable expression of DVL2 WT-BirA*	no depletion	BioID streptavidin-enriched gel fraction 17 from DVL2 WT-BirA*, control, Biosample 1, Plate 1	MMW3060A17LC3_A3_MMW3060A17LC3-40-128983	proteomic profiling by mass spectrometry	MMW3060_P1_17	LC-MS/MS	MMW3060A17LC3_A3_MMW3060A17LC3-40-128983.raw	MMW3060A17LC3_A3_F097276.mgf	MMW3060A17LC3_A3_F097276.mzid	data-dependent acquisition	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	label free sample	17	1	not available	gel electrophoresis	5 ppm	0.4 Da	not available	not available	NT=Phospho;MT=Variable;TA=S,T,Y;AC=Unimod:21	ion trap	plate 1	not available	A3	Imperial Protein Stain	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	DVL2 WT-BirA*	control	Biosample 1
MMW3060P1_Biosample_1	Homo sapiens	HEK293 Flp-In T-REx	CVCL_U427	embryonic kidney cell	kidney	normal	not available	female	study sample	1	stable expression of DVL2 WT-BirA*	no depletion	BioID streptavidin-enriched gel fraction 18 from DVL2 WT-BirA*, control, Biosample 1, Plate 1	MMW3060A18LC3_B3_MMW3060A18LC3-40-128984	proteomic profiling by mass spectrometry	MMW3060_P1_18	LC-MS/MS	MMW3060A18LC3_B3_MMW3060A18LC3-40-128984.raw	MMW3060A18LC3_B3_F097279.mgf	MMW3060A18LC3_B3_F097279.mzid	data-dependent acquisition	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	label free sample	18	1	not available	gel electrophoresis	5 ppm	0.4 Da	not available	not available	NT=Phospho;MT=Variable;TA=S,T,Y;AC=Unimod:21	ion trap	plate 1	not available	B3	Imperial Protein Stain	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	DVL2 WT-BirA*	control	Biosample 1
MMW3060P1_Biosample_1	Homo sapiens	HEK293 Flp-In T-REx	CVCL_U427	embryonic kidney cell	kidney	normal	not available	female	study sample	1	stable expression of DVL2 WT-BirA*	no depletion	BioID streptavidin-enriched gel fraction 19 from DVL2 WT-BirA*, control, Biosample 1, Plate 1	MMW3060A19LC3_C3_MMW3060A19LC3-40-128985	proteomic profiling by mass spectrometry	MMW3060_P1_19	LC-MS/MS	MMW3060A19LC3_C3_MMW3060A19LC3-40-128985.raw	MMW3060A19LC3_C3_F097283.mgf	MMW3060A19LC3_C3_F097283.mzid	data-dependent acquisition	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	label free sample	19	1	not available	gel electrophoresis	5 ppm	0.4 Da	not available	not available	NT=Phospho;MT=Variable;TA=S,T,Y;AC=Unimod:21	ion trap	plate 1	not available	C3	Imperial Protein Stain	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	DVL2 WT-BirA*	control	Biosample 1
MMW3060P1_Biosample_1	Homo sapiens	HEK293 Flp-In T-REx	CVCL_U427	embryonic kidney cell	kidney	normal	not available	female	study sample	1	stable expression of DVL2 WT-BirA*	no depletion	BioID streptavidin-enriched gel fraction 20 from DVL2 WT-BirA*, control, Biosample 1, Plate 1	MMW3060A20LC3_D3_MMW3060A20LC3-40-128987	proteomic profiling by mass spectrometry	MMW3060_P1_20	LC-MS/MS	MMW3060A20LC3_D3_MMW3060A20LC3-40-128987.raw	MMW3060A20LC3_D3_F097285.mgf	MMW3060A20LC3_D3_F097285.mzid	data-dependent acquisition	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	label free sample	20	1	not available	gel electrophoresis	5 ppm	0.4 Da	not available	not available	NT=Phospho;MT=Variable;TA=S,T,Y;AC=Unimod:21	ion trap	plate 1	not available	D3	Imperial Protein Stain	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	DVL2 WT-BirA*	control	Biosample 1
