source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[medium]	characteristics[temperature]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[label]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
RunA_BW	Escherichia coli	Cell lysate	Escherichia coli BW25113 (KEIO reference strain)	not applicable	Prokaryotic cell	1	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	RunA_BW	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250212_C37683_008_S887346_A_BW_BW_WT.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
RunB_BW	Escherichia coli	Cell lysate	Escherichia coli BW25113 (KEIO reference strain)	not applicable	Prokaryotic cell	2	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	RunB_BW	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250212_C37683_011_S887358_B_BW_BW_WT.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
RunC_BW	Escherichia coli	Cell lysate	Escherichia coli BW25113 (KEIO reference strain)	not applicable	Prokaryotic cell	3	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	RunC_BW	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250212_C37683_007_S887370_C_BW_BW_WT.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
RunA_ompF	Escherichia coli	Cell lysate	Escherichia coli BW25113 DeltaompF	not applicable	Prokaryotic cell	1	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	RunA_ompF	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250212_C37683_012_S887347_A_ompF_BW_ompF.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
RunB_ompF	Escherichia coli	Cell lysate	Escherichia coli BW25113 DeltaompF	not applicable	Prokaryotic cell	2	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	RunB_ompF	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250212_C37683_006_S887359_B_ompF_BW_ompF.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
RunC_ompF	Escherichia coli	Cell lysate	Escherichia coli BW25113 DeltaompF	not applicable	Prokaryotic cell	3	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	RunC_ompF	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250212_C37683_003_S887371_C_ompF_BW_ompF.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
RunA_waaF	Escherichia coli	Cell lysate	Escherichia coli BW25113 DeltawaaF	not applicable	Prokaryotic cell	1	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	RunA_waaF	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250212_C37683_013_S887348_A_waaF_BW_waaF.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
RunB_waaF	Escherichia coli	Cell lysate	Escherichia coli BW25113 DeltawaaF	not applicable	Prokaryotic cell	2	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	RunB_waaF	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250212_C37683_002_S887360_B_waaF_BW_waaF.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
RunC_waaF	Escherichia coli	Cell lysate	Escherichia coli BW25113 DeltawaaF	not applicable	Prokaryotic cell	3	15 ml YT broth, 5 ml Ca/HEPES buffer (25 mM HEPES, 2 mM CaCl2, pH 7.6) and 0.15 ml 200mM CaCl2	37C	RunC_waaF	Proteomic profiling by mass spectrometry	1	Data-independent acquisition	20250212_C37683_004_S887372_C_waaF_BW_waaF.raw	1	Label free sample	Orbitrap Fusion Lumos (Thermo Scientific) equipped with a Digital PicoView source (New Objective) and coupled to a M-Class UPLC (Waters)	Trypsin	20 ppm	15 ppm	fixed modification carbamidomethylation of cysteine	HCD	30% NCE	not applicable		v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
