source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
4arm LMAP, 14, Sample,3	Mus musculus	skin	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 16	proteomic profiling by mass spectrometry	20210909_HB_Woundhealing_3BR.raw	20210909_HB_Woundhealing_3BR.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	Orbitrap Exploris 480	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
8arm DMAP, 14, Sample,3	Mus musculus	skin	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 17	proteomic profiling by mass spectrometry	20210909_HB_Woundhealing_3TL.raw	20210909_HB_Woundhealing_3TL.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	Orbitrap Exploris 480	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
4arm DMAP, 14, Sample,3	Mus musculus	skin	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 18	proteomic profiling by mass spectrometry	20210909_HB_Woundhealing_3TR.raw	20210909_HB_Woundhealing_3TR.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	Orbitrap Exploris 480	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
8arm DMAP, 21, Sample,4	Mus musculus	skin	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 19	proteomic profiling by mass spectrometry	20210909_HB_Woundhealing_4BL.raw	20210909_HB_Woundhealing_4BL.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	Orbitrap Exploris 480	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
4arm DMAP, 21, Sample,4	Mus musculus	skin	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 20	proteomic profiling by mass spectrometry	20210909_HB_Woundhealing_4BR.raw	20210909_HB_Woundhealing_4BR.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	Orbitrap Exploris 480	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
4arm LMAP, 21, Sample,4	Mus musculus	skin	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 21	proteomic profiling by mass spectrometry	20210909_HB_Woundhealing_4TL.raw	20210909_HB_Woundhealing_4TL.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	Orbitrap Exploris 480	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
Wound Control, 21, Sample,4	Mus musculus	skin	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 22	proteomic profiling by mass spectrometry	20210909_HB_Woundhealing_4TR.raw	20210909_HB_Woundhealing_4TR.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	Orbitrap Exploris 480	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
Wound Control, 21, Sample,5	Mus musculus	skin	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 23	proteomic profiling by mass spectrometry	20210909_HB_Woundhealing_5BL.raw	20210909_HB_Woundhealing_5BL.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	Orbitrap Exploris 480	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
8arm DMAP, 21, Sample,5	Mus musculus	skin	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 24	proteomic profiling by mass spectrometry	20210909_HB_Woundhealing_5BR.raw	20210909_HB_Woundhealing_5BR.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	Orbitrap Exploris 480	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
4arm DMAP, 21, Sample,5	Mus musculus	skin	not applicable	not applicable	adult	none	not available	not available	not available	1	tissue	run 25	proteomic profiling by mass spectrometry	20210909_HB_Woundhealing_5TL.raw	20210909_HB_Woundhealing_5TL.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	Orbitrap Exploris 480	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
4arm LMAP, 21, Sample,5	Mus musculus	skin	not applicable	not applicable	adult	none	not available	not available	not available	2	tissue	run 26	proteomic profiling by mass spectrometry	20210909_HB_Woundhealing_5TR.raw	20210909_HB_Woundhealing_5TR.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	Orbitrap Exploris 480	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	AC=MS:1000422;NT=HCD	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0
