source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[protein amount]
sample 11	mus musculus	BV2 cell	immature microglia	neonatal	not available	1	run 11	proteomic profiling by mass spectrometer	1	christina_BV2_21ip_04.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	300 ug
sample 12	mus musculus	BV2 cell	immature microglia	neonatal	not available	1	run 12	proteomic profiling by mass spectrometer	1	christina_BV2_21ip_07.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	300 ug
sample 13	mus musculus	BV2 cell	immature microglia	neonatal	not available	1	run 13	proteomic profiling by mass spectrometer	1	christina_BV2_21ip_08.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	300 ug
sample 14	mus musculus	BV2 cell	immature microglia	neonatal	not available	1	run 14	proteomic profiling by mass spectrometer	1	christina_BV2_21ip_09.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	300 ug
sample 15	mus musculus	BV2 cell	immature microglia	neonatal	not available	1	run 15	proteomic profiling by mass spectrometer	1	christina_BV2_21ip_10.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	300 ug
sample 16	mus musculus	BV2 cell	immature microglia	neonatal	not available	1	run 16	proteomic profiling by mass spectrometer	1	christina_BV2_21ip_11.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	300 ug
sample 17	mus musculus	BV2 cell	immature microglia	neonatal	not available	1	run 17	proteomic profiling by mass spectrometer	1	christina_BV2_21ip_12.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	300 ug
sample 18	mus musculus	brain cortex	not available	adult	not available	1	run 18	proteomic profiling by mass spectrometer	1	christina_Aldh1l1_Camk2a_21ip_01.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	300 ug
sample 19	mus musculus	brain cortex	not available	adult	not available	1	run 19	proteomic profiling by mass spectrometer	1	christina_Aldh1l1_Camk2a_21ip_02.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	300 ug
sample 20	mus musculus	brain cortex	not available	adult	not available	1	run 20	proteomic profiling by mass spectrometer	1	christina_Aldh1l1_Camk2a_21ip_04.raw	1	NT=label free sample	AC=MS:1002634;NT=Trypsin	NT=Q Exactive Plus; AC=MS:1002634	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetylation;MT=Variable;TA=Protein N-term;AC=UNIMOD:1	NT=Deamidation;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	20 ppm	0.05 Da	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	300 ug
