source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[data file]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
sample 43	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	2	MTA-GFP 2	proteomic profiling by mass spectrometry	1	43	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_2_3.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 44	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	2	MTA-GFP 2	proteomic profiling by mass spectrometry	1	44	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_2_4.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 45	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	2	MTA-GFP 2	proteomic profiling by mass spectrometry	1	45	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_2_5.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 46	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	2	hakai MTA-GFP 2	proteomic profiling by mass spectrometry	1	46	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_2_1.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 47	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	2	hakai MTA-GFP 2	proteomic profiling by mass spectrometry	1	47	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_2_2.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 48	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	2	hakai MTA-GFP 2	proteomic profiling by mass spectrometry	1	48	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_2_3.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 49	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	2	hakai MTA-GFP 2	proteomic profiling by mass spectrometry	1	49	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_2_4.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 50	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	2	hakai MTA-GFP 2	proteomic profiling by mass spectrometry	1	50	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_2_5.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 51	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	3	MTA-GFP 3	proteomic profiling by mass spectrometry	1	51	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_3_1.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 52	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	3	MTA-GFP 3	proteomic profiling by mass spectrometry	1	52	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_3_2.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 53	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	3	MTA-GFP 3	proteomic profiling by mass spectrometry	1	53	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_3_3.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 54	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	3	MTA-GFP 3	proteomic profiling by mass spectrometry	1	54	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_3_4.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 55	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	MTApro:MTA-GFP/mta	3	MTA-GFP 3	proteomic profiling by mass spectrometry	1	55	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	MTA_3_5.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 56	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	3	hakai MTA-GFP 3	proteomic profiling by mass spectrometry	1	56	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_3_1.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 57	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	3	hakai MTA-GFP 3	proteomic profiling by mass spectrometry	1	57	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_3_2.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 58	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	3	hakai MTA-GFP 3	proteomic profiling by mass spectrometry	1	58	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_3_3.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 59	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	3	hakai MTA-GFP 3	proteomic profiling by mass spectrometry	1	59	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_3_4.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 60	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	hakai-2 MTApro:MTA-GFP/mta	3	hakai MTA-GFP 3	proteomic profiling by mass spectrometry	1	60	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	hakai_MTA_3_5.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
