source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[data file]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
sample 11	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	2	WT H 2	proteomic profiling by mass spectrometry	1	11	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_2_1.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 12	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	2	WT H 2	proteomic profiling by mass spectrometry	1	12	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_2_2.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 13	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	2	WT H 2	proteomic profiling by mass spectrometry	1	13	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_2_3.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 14	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	2	WT H 2	proteomic profiling by mass spectrometry	1	14	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_2_4.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 15	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	WT	2	WT H 2	proteomic profiling by mass spectrometry	1	15	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	WT_2_5.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 16	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	2	Hakai-GFP 2	proteomic profiling by mass spectrometry	1	16	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_2_1.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 17	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	2	Hakai-GFP 2	proteomic profiling by mass spectrometry	1	17	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_2_2.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 18	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	2	Hakai-GFP 2	proteomic profiling by mass spectrometry	1	18	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_2_3.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 19	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	2	Hakai-GFP 2	proteomic profiling by mass spectrometry	1	19	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_2_4.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 20	Arabidopsis thaliana	whole seedlings	plant cell	2-week old	not applicable	HAKAIpro:HAKAI-GFP/hakai	2	Hakai-GFP 2	proteomic profiling by mass spectrometry	1	20	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	HAKAI_2_5.RAW	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
