source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[phenotype]	assay name	technology type	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[data file]	comment[technical replicate]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[phenotype]
sample 15	mus musculus	ovary	six weeks of age	female	cumulus cells	healthy	3	Std IVM	Run 15	proteomic profiling by mass spectrometry	1	label free sample	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	AP100719_DR_CC35.raw	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Std IVM
sample 16	mus musculus	ovary	six weeks of age	female	cumulus cells	healthy	4	Std IVM	Run 16	proteomic profiling by mass spectrometry	1	label free sample	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	AP100719_DR_CC36.raw	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Std IVM
sample 17	mus musculus	ovary	six weeks of age	female	cumulus cells	healthy	1	CAPA IVM	Run 17	proteomic profiling by mass spectrometry	1	label free sample	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	AP100719_DR_CC37.raw	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	CAPA IVM
sample 18	mus musculus	ovary	six weeks of age	female	cumulus cells	healthy	2	CAPA IVM	Run 18	proteomic profiling by mass spectrometry	1	label free sample	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	AP100719_DR_CC38.raw	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	CAPA IVM
sample 19	mus musculus	ovary	six weeks of age	female	cumulus cells	healthy	3	CAPA IVM	Run 19	proteomic profiling by mass spectrometry	1	label free sample	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	AP100719_DR_CC39.raw	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	CAPA IVM
sample 20	mus musculus	ovary	six weeks of age	female	cumulus cells	healthy	4	CAPA IVM	Run 20	proteomic profiling by mass spectrometry	1	label free sample	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	AP100719_DR_CC40.raw	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	CAPA IVM
sample 21	mus musculus	ovary	six weeks of age	female	cumulus cells	healthy	1	In vivo	Run 21	proteomic profiling by mass spectrometry	1	label free sample	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	AP100719_DR_CC41.raw	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	In vivo
sample 22	mus musculus	ovary	six weeks of age	female	cumulus cells	healthy	2	In vivo	Run 22	proteomic profiling by mass spectrometry	1	label free sample	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	AP100719_DR_CC42.raw	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	In vivo
sample 23	mus musculus	ovary	six weeks of age	female	cumulus cells	healthy	3	In vivo	Run 23	proteomic profiling by mass spectrometry	1	label free sample	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	AP100719_DR_CC43.raw	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	In vivo
sample 24	mus musculus	ovary	six weeks of age	female	cumulus cells	healthy	4	In vivo	Run 24	proteomic profiling by mass spectrometry	1	label free sample	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	AP100719_DR_CC44.raw	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	In vivo
