source name	characteristics[environmental sample type]	characteristics[organism]	characteristics[strain/breed]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[time]	characteristics[batch]	assay name	technology type	comment[proteomics data acquisition method]	comment[technical replicate]	comment[ion source]	comment[scan polarity]	comment[acquisition method]	comment[chromatography type]	comment[data file]	comment[file uri]	comment[instrument]	comment[label]	comment[fraction identifier]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[sdrf version]	comment[sdrf template]	factor value[strain]	factor value[time]
sample_21_ATCC_d0_b3	cheese	Lactococcus lactis subsp. cremoris	ATCC	cheese curd	not applicable	normal	3	0 day	5-18	run_21	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121223_ATCC3_5_18_0.raw	box://oregonstate.app.box.com/folder/242485093252/121223_ATCC3_5_18_0.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ATCC	0 day
sample_22_ATCC_d45_b3	cheese	Lactococcus lactis subsp. cremoris	ATCC	cheese curd	not applicable	normal	3	45 day	5-18	run_22	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121223_ATCC3_5_18_45.raw	box://oregonstate.app.box.com/folder/242485093252/121223_ATCC3_5_18_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ATCC	45 day
sample_23_ATCC_d90_b3	cheese	Lactococcus lactis subsp. cremoris	ATCC	cheese curd	not applicable	normal	3	90 day	5-18	run_23	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121223_ATCC3_5_18_90.raw	box://oregonstate.app.box.com/folder/242485093252/121223_ATCC3_5_18_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	ATCC	90 day
sample_24_64_d45_b1	cheese	Lactococcus lactis subsp. cremoris	64	cheese curd	not applicable	normal	1	45 day		run_24	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121423_64_1_45.raw	box://oregonstate.app.box.com/folder/242485093252/121423_64_1_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	64	45 day
sample_25_64_d90_b1	cheese	Lactococcus lactis subsp. cremoris	64	cheese curd	not applicable	normal	1	90 day		run_25	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121423_64_1_90.raw	box://oregonstate.app.box.com/folder/242485093252/121423_64_1_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	64	90 day
sample_26_64_d45_b2	cheese	Lactococcus lactis subsp. cremoris	64	cheese curd	not applicable	normal	2	45 day		run_26	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121423_64_2_45.raw	box://oregonstate.app.box.com/folder/242485093252/121423_64_2_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	64	45 day
sample_27_64_d90_b2	cheese	Lactococcus lactis subsp. cremoris	64	cheese curd	not applicable	normal	2	90 day		run_27	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121423_64_2_90.raw	box://oregonstate.app.box.com/folder/242485093252/121423_64_2_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	64	90 day
sample_28_64_d45_b3	cheese	Lactococcus lactis subsp. cremoris	64	cheese curd	not applicable	normal	3	45 day		run_28	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121423_64_3_45.raw	box://oregonstate.app.box.com/folder/242485093252/121423_64_3_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	64	45 day
sample_29_64_d90_b3	cheese	Lactococcus lactis subsp. cremoris	64	cheese curd	not applicable	normal	3	90 day		run_29	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121423_64_3_90.raw	box://oregonstate.app.box.com/folder/242485093252/121423_64_3_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	64	90 day
sample_30_A24MR5_d45_b1	cheese	Lactococcus cremoris subsp. bensonii	A24MR5	cheese curd	not applicable	normal	1	45 day		run_30	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121423_A24MR5_1_45.raw	box://oregonstate.app.box.com/folder/242485093252/121423_A24MR5_1_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A24MR5	45 day
