source name	characteristics[environmental sample type]	characteristics[organism]	characteristics[strain/breed]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	characteristics[time]	characteristics[batch]	assay name	technology type	comment[proteomics data acquisition method]	comment[technical replicate]	comment[ion source]	comment[scan polarity]	comment[acquisition method]	comment[chromatography type]	comment[data file]	comment[file uri]	comment[instrument]	comment[label]	comment[fraction identifier]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[sdrf version]	comment[sdrf template]	factor value[strain]	factor value[time]
sample_31_A24MR5_d90_b1	cheese	Lactococcus cremoris subsp. bensonii	A24MR5	cheese curd	not applicable	normal	1	90 day		run_31	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121423_A24MR5_1_90.raw	box://oregonstate.app.box.com/folder/242485093252/121423_A24MR5_1_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A24MR5	90 day
sample_32_A24MR5_d45_b2	cheese	Lactococcus cremoris subsp. bensonii	A24MR5	cheese curd	not applicable	normal	2	45 day		run_32	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121423_A24MR5_2_45.raw	box://oregonstate.app.box.com/folder/242485093252/121423_A24MR5_2_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A24MR5	45 day
sample_33_A24MR5_d90_b2	cheese	Lactococcus cremoris subsp. bensonii	A24MR5	cheese curd	not applicable	normal	2	90 day		run_33	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121423_A24MR5_2_90.raw	box://oregonstate.app.box.com/folder/242485093252/121423_A24MR5_2_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A24MR5	90 day
sample_34_A24MR5_d45_b3	cheese	Lactococcus cremoris subsp. bensonii	A24MR5	cheese curd	not applicable	normal	3	45 day		run_34	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121423_A24MR5_3_45.raw	box://oregonstate.app.box.com/folder/242485093252/121423_A24MR5_3_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A24MR5	45 day
sample_35_A24MR5_d90_b3	cheese	Lactococcus cremoris subsp. bensonii	A24MR5	cheese curd	not applicable	normal	3	90 day		run_35	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121423_A24MR5_3_90.raw	box://oregonstate.app.box.com/folder/242485093252/121423_A24MR5_3_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A24MR5	90 day
sample_36_RAS3_d45_b1	cheese	Lactococcus lactis subsp. lactis	RAS3	cheese curd	not applicable	normal	1	45 day		run_36	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121423_RAS3_1_45.raw	box://oregonstate.app.box.com/folder/242485093252/121423_RAS3_1_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RAS3	45 day
sample_37_RAS3_d90_b1	cheese	Lactococcus lactis subsp. lactis	RAS3	cheese curd	not applicable	normal	1	90 day		run_37	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121423_RAS3_1_90.raw	box://oregonstate.app.box.com/folder/242485093252/121423_RAS3_1_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RAS3	90 day
sample_38_RAS3_d45_b2	cheese	Lactococcus lactis subsp. lactis	RAS3	cheese curd	not applicable	normal	2	45 day		run_38	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121423_RAS3_2_45.raw	box://oregonstate.app.box.com/folder/242485093252/121423_RAS3_2_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RAS3	45 day
sample_39_RAS3_d90_b2	cheese	Lactococcus lactis subsp. lactis	RAS3	cheese curd	not applicable	normal	2	90 day		run_39	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121423_RAS3_2_90.raw	box://oregonstate.app.box.com/folder/242485093252/121423_RAS3_2_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RAS3	90 day
sample_40_RAS3_d45_b3	cheese	Lactococcus lactis subsp. lactis	RAS3	cheese curd	not applicable	normal	3	45 day		run_40	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121423_RAS3_3_45.raw	box://oregonstate.app.box.com/folder/242485093252/121423_RAS3_3_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RAS3	45 day
sample_41_RAS3_d90_b3	cheese	Lactococcus lactis subsp. lactis	RAS3	cheese curd	not applicable	normal	3	90 day		run_41	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121423_RAS3_3_90.raw	box://oregonstate.app.box.com/folder/242485093252/121423_RAS3_3_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	RAS3	90 day
sample_42_B24ST3_d45_b1	cheese	Lactococcus cremoris subsp. bensonii	B24ST3	cheese curd	not applicable	normal	1	45 day		run_42	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121523_B24ST3_1_45.raw	box://oregonstate.app.box.com/folder/242485093252/121523_B24ST3_1_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	B24ST3	45 day
sample_43_B24ST3_d90_b1	cheese	Lactococcus cremoris subsp. bensonii	B24ST3	cheese curd	not applicable	normal	1	90 day		run_43	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121523_B24ST3_1_90.raw	box://oregonstate.app.box.com/folder/242485093252/121523_B24ST3_1_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	B24ST3	90 day
sample_44_B24ST3_d45_b2	cheese	Lactococcus cremoris subsp. bensonii	B24ST3	cheese curd	not applicable	normal	2	45 day		run_44	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121523_B24ST3_2_45.raw	box://oregonstate.app.box.com/folder/242485093252/121523_B24ST3_2_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	B24ST3	45 day
sample_45_B24ST3_d90_b2	cheese	Lactococcus cremoris subsp. bensonii	B24ST3	cheese curd	not applicable	normal	2	90 day		run_45	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121523_B24ST3_2_90.raw	box://oregonstate.app.box.com/folder/242485093252/121523_B24ST3_2_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	B24ST3	90 day
sample_46_B24ST3_d45_b3	cheese	Lactococcus cremoris subsp. bensonii	B24ST3	cheese curd	not applicable	normal	3	45 day		run_46	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121523_B24ST3_3_45.raw	box://oregonstate.app.box.com/folder/242485093252/121523_B24ST3_3_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	B24ST3	45 day
sample_47_B24ST3_d90_b3	cheese	Lactococcus cremoris subsp. bensonii	B24ST3	cheese curd	not applicable	normal	3	90 day		run_47	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121523_B24ST3_3_90.raw	box://oregonstate.app.box.com/folder/242485093252/121523_B24ST3_3_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	B24ST3	90 day
sample_48_E16M12_d45_b1	cheese	Lactococcus lactis subsp. lactis	E16M12	cheese curd	not applicable	normal	1	45 day		run_48	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121523_E16M12_1_45.raw	box://oregonstate.app.box.com/folder/242485093252/121523_E16M12_1_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	E16M12	45 day
sample_49_E16M12_d90_b1	cheese	Lactococcus lactis subsp. lactis	E16M12	cheese curd	not applicable	normal	1	90 day		run_49	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121523_E16M12_1_90.raw	box://oregonstate.app.box.com/folder/242485093252/121523_E16M12_1_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	E16M12	90 day
sample_50_E16M12_d45_b2	cheese	Lactococcus lactis subsp. lactis	E16M12	cheese curd	not applicable	normal	2	45 day		run_50	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121523_E16M12_2_45.raw	box://oregonstate.app.box.com/folder/242485093252/121523_E16M12_2_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	E16M12	45 day
sample_51_E16M12_d90_b2	cheese	Lactococcus lactis subsp. lactis	E16M12	cheese curd	not applicable	normal	2	90 day		run_51	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121523_E16M12_2_90.raw	box://oregonstate.app.box.com/folder/242485093252/121523_E16M12_2_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	E16M12	90 day
sample_52_E16M12_d45_b3	cheese	Lactococcus lactis subsp. lactis	E16M12	cheese curd	not applicable	normal	3	45 day		run_52	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121523_E16M12_3_45.raw	box://oregonstate.app.box.com/folder/242485093252/121523_E16M12_3_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	E16M12	45 day
sample_53_E16M12_d90_b3	cheese	Lactococcus lactis subsp. lactis	E16M12	cheese curd	not applicable	normal	3	90 day		run_53	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121523_E16M12_3_90.raw	box://oregonstate.app.box.com/folder/242485093252/121523_E16M12_3_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	E16M12	90 day
sample_54_E24M12_d45_b1	cheese	Lactococcus lactis subsp. lactis	E24M12	cheese curd	not applicable	normal	1	45 day		run_54	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121523_E24M12_1_45.raw	box://oregonstate.app.box.com/folder/242485093252/121523_E24M12_1_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	E24M12	45 day
sample_55_E24M12_d90_b1	cheese	Lactococcus lactis subsp. lactis	E24M12	cheese curd	not applicable	normal	1	90 day		run_55	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121523_E24M12_1_90.raw	box://oregonstate.app.box.com/folder/242485093252/121523_E24M12_1_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	E24M12	90 day
sample_56_E24M12_d45_b2	cheese	Lactococcus lactis subsp. lactis	E24M12	cheese curd	not applicable	normal	2	45 day		run_56	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121523_E24M12_2_45.raw	box://oregonstate.app.box.com/folder/242485093252/121523_E24M12_2_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	E24M12	45 day
sample_57_E24M12_d90_b2	cheese	Lactococcus lactis subsp. lactis	E24M12	cheese curd	not applicable	normal	2	90 day		run_57	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121523_E24M12_2_90.raw	box://oregonstate.app.box.com/folder/242485093252/121523_E24M12_2_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	E24M12	90 day
sample_58_E24M12_d45_b3	cheese	Lactococcus lactis subsp. lactis	E24M12	cheese curd	not applicable	normal	3	45 day		run_58	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121523_E24M12_3_45.raw	box://oregonstate.app.box.com/folder/242485093252/121523_E24M12_3_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	E24M12	45 day
sample_59_E24M12_d90_b3	cheese	Lactococcus lactis subsp. lactis	E24M12	cheese curd	not applicable	normal	3	90 day		run_59	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121523_E24M12_3_90.raw	box://oregonstate.app.box.com/folder/242485093252/121523_E24M12_3_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	E24M12	90 day
sample_60_74_d45_b1	cheese	Lactococcus lactis subsp. cremoris	74	cheese curd	not applicable	normal	1	45 day		run_60	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121723_74_1_45.raw	box://oregonstate.app.box.com/folder/242485093252/121723_74_1_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	74	45 day
sample_61_74_d90_b1	cheese	Lactococcus lactis subsp. cremoris	74	cheese curd	not applicable	normal	1	90 day		run_61	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121723_74_1_90.raw	box://oregonstate.app.box.com/folder/242485093252/121723_74_1_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	74	90 day
sample_62_74_d45_b2	cheese	Lactococcus lactis subsp. cremoris	74	cheese curd	not applicable	normal	2	45 day		run_62	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121723_74_2_45.raw	box://oregonstate.app.box.com/folder/242485093252/121723_74_2_45.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	74	45 day
sample_63_74_d90_b2	cheese	Lactococcus lactis subsp. cremoris	74	cheese curd	not applicable	normal	2	90 day		run_63	proteomic profiling by mass spectrometry	data-dependent acquisition	1	electrospray ionization	positive scan	data-dependent acquisition	reversed-phase liquid chromatography	121723_74_2_90.raw	box://oregonstate.app.box.com/folder/242485093252/121723_74_2_90.raw	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	1	NT=No-enzyme/unspecific cleavage;AC=MS:1001956	NT=Oxidation;TA=M;MT=variable;AC=UNIMOD:35	NT=Phospho;TA=S,T;MT=variable;AC=UNIMOD:21	NT=Acetyl;PP=Protein N-term;MT=variable;AC=UNIMOD:1	10 ppm	0.1 Da	v1.1.0	NT=ms-proteomics;VV=v1.1.0	74	90 day
