source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	assay name	technology type	comment[cleavage agent details]	comment[data file]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[technical replicate]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	factor value[ebv status]	factor value[exposure]
Sample 11	Homo sapiens	Lymphatic system	3	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 11	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_48h_3.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	negative	AFB1
Sample 12	Homo sapiens	Lymphatic system	4	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 12	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_48h_4.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	negative	AFB1
Sample 13	Homo sapiens	Lymphatic system	6	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 13	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_48h_6.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	negative	AFB1
Sample 14	Homo sapiens	Lymphatic system	1	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 14	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_72h_1.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	negative	AFB1
Sample 15	Homo sapiens	Lymphatic system	2	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 15	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_72h_2.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	negative	AFB1
Sample 16	Homo sapiens	Lymphatic system	3	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 16	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_72h_3.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	negative	AFB1
Sample 17	Homo sapiens	Lymphatic system	4	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 17	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_72h_4.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	negative	AFB1
Sample 18	Homo sapiens	Lymphatic system	5	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 18	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_72h_5.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	negative	AFB1
Sample 19	Homo sapiens	Lymphatic system	6	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 19	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_72h_6.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	negative	AFB1
Sample 20	Homo sapiens	Lymphatic system	1	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 20	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_pos_0h_1.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	positive	AFB1
Sample 21	Homo sapiens	Lymphatic system	2	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 21	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_pos_0h_2.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	positive	AFB1
