source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	assay name	technology type	comment[cleavage agent details]	comment[data file]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[technical replicate]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	factor value[ebv status]	factor value[exposure]
Sample 22	Homo sapiens	Lymphatic system	3	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 22	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_pos_0h_3_02.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	positive	AFB1
Sample 23	Homo sapiens	Lymphatic system	4	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 23	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_pos_0h_4.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	positive	AFB1
Sample 24	Homo sapiens	Lymphatic system	5	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 24	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_pos_0h_5.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	positive	AFB1
Sample 25	Homo sapiens	Lymphatic system	6	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 25	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_pos_0h_6.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	positive	AFB1
Sample 26	Homo sapiens	Lymphatic system	1	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 26	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_pos_24h_1_02.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	positive	AFB1
Sample 27	Homo sapiens	Lymphatic system	2	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 27	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_pos_24h_2_02.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	positive	AFB1
Sample 28	Homo sapiens	Lymphatic system	3	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 28	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_pos_24h_3.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	positive	AFB1
Sample 29	Homo sapiens	Lymphatic system	4	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 29	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_pos_24h_4_02.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	positive	AFB1
Sample 30	Homo sapiens	Lymphatic system	5	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 30	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_pos_24h_5.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	positive	AFB1
Sample 31	Homo sapiens	Lymphatic system	6	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 31	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_pos_24h_6_02.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	positive	AFB1
Sample 32	Homo sapiens	Lymphatic system	1	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 32	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_pos_48h_1.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	positive	AFB1
Sample 33	Homo sapiens	Lymphatic system	2	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 33	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_pos_48h_2.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	positive	AFB1
Sample 34	Homo sapiens	Lymphatic system	3	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 34	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_pos_48h_3.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	positive	AFB1
Sample 35	Homo sapiens	Lymphatic system	4	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 35	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_pos_48h_4.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	positive	AFB1
Sample 36	Homo sapiens	Lymphatic system	6	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 36	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_pos_48h_6.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	positive	AFB1
Sample 37	Homo sapiens	Lymphatic system	1	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 37	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_pos_72h_1.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	positive	AFB1
Sample 38	Homo sapiens	Lymphatic system	2	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 38	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_pos_72h_2.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	positive	AFB1
Sample 39	Homo sapiens	Lymphatic system	3	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 39	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_pos_72h_3.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	positive	AFB1
Sample 40	Homo sapiens	Lymphatic system	4	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 40	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_pos_72h_4.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	positive	AFB1
Sample 41	Homo sapiens	Lymphatic system	5	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 41	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_pos_72h_5.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	positive	AFB1
Sample 42	Homo sapiens	Lymphatic system	6	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 42	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_AFB1_pos_72h_6.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	positive	AFB1
Sample 43	Homo sapiens	Lymphatic system	1	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 43	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_DMSO_0h_1.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	negative	DMSO
Sample 44	Homo sapiens	Lymphatic system	2	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 44	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_DMSO_0h_2_2.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	negative	DMSO
Sample 45	Homo sapiens	Lymphatic system	3	Loukes	B Lymphocyte	Burkitt Lymphoma Cancer	Run 45	proteomic profiling by mass spectrometry	NT=Arg-C; AC=MS:1001303	231030_DMSO_0h_3.zip	1	50 ppm	NT=ZenoTOF 7600;AC=MS:1003293	AC=MS:1002038;NT=label free sample	NT=Propionyl;AC=UNIMOD:58;MT=fixed;TA=K,N-term	NT=Deamidated;AC=UNIMOD:7;MT=variable;TA=N,Q	NT=Acetyl;AC=UNIMOD:1;MT=variable;TA=K	NT=Butyryl;AC=UNIMOD:1289;MT=variable;TA=K	NT=Dimethyl;AC=UNIMOD:36;MT=variable;TA=K,R	NT=Succinyl;AC=UNIMOD:64;MT=variable;TA=K	NT=Trimethyl;AC=UNIMOD:37;MT=variable;TA=K	NT=Methyl;AC=UNIMOD:34;MT=variable;TA=K,R	NT=Crotonyl;AC=UNIMOD:1363;MT=variable;TA=K	NT=Phospho;AC=UNIMOD:21;MT=variable;TA=S,T	10 ppm	1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	negative	DMSO
