source name	characteristics[organism]	characteristics[ecotype/cultivar]	characteristics[genotype]	characteristics[cell type]	characteristics[disease]	characteristics[organism part]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]
sample 15	Arabidopsis thaliana	Ler	pLUH:LUH-GFP pAP1:AP1-GR ap1 cal	not available	not available	inflorescence	4 DAI	3	IP	LC-MS/MS DDA	1	20210914_RoVe_21_FGS173_4d_R3.raw	1	label free	Q Exactive Plus	Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 16	Arabidopsis thaliana	Ler	pLUH:LUH-GFP pAP1:AP1-GR ap1 cal	not available	not available	inflorescence	4 DAI	1	INPUT	LC-MS/MS DDA	1	20210914_RoVe_31_FGS173_4d_IN_R1.raw	1	label free	Q Exactive Plus	Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 17	Arabidopsis thaliana	Ler	pLUH:LUH-GFP pAP1:AP1-GR ap1 cal	not available	not available	inflorescence	4 DAI	2	INPUT	LC-MS/MS DDA	1	20210914_RoVe_32_FGS173_4d_IN_R2.raw	1	label free	Q Exactive Plus	Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 18	Arabidopsis thaliana	Ler	pLUH:LUH-GFP pAP1:AP1-GR ap1 cal	not available	not available	inflorescence	4 DAI	3	INPUT	LC-MS/MS DDA	1	20210914_RoVe_33_FGS173_4d_IN_R3.raw	1	label free	Q Exactive Plus	Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 19	Arabidopsis thaliana	Ler	pLUH:LUH-GFP pAP1:AP1-GR ap1 cal	not available	not available	inflorescence	8 DAI	1	IP	LC-MS/MS DDA	1	20220207_RoVe_7_LUH-GFP8-1.raw	1	label free	Q Exactive Plus	Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 20	Arabidopsis thaliana	Ler	pLUH:LUH-GFP pAP1:AP1-GR ap1 cal	not available	not available	inflorescence	8 DAI	2	IP	LC-MS/MS DDA	1	20220207_RoVe_8_LUH-GFP8-2.raw	1	label free	Q Exactive Plus	Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 21	Arabidopsis thaliana	Ler	pLUH:LUH-GFP pAP1:AP1-GR ap1 cal	not available	not available	inflorescence	8 DAI	3	IP	LC-MS/MS DDA	1	20220207_RoVe_9_LUH-GFP8-3.raw	1	label free	Q Exactive Plus	Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 22	Arabidopsis thaliana	Ler	pLUH:LUH-GFP pAP1:AP1-GR ap1 cal	not available	not available	inflorescence	8 DAI	1	INPUT	LC-MS/MS DDA	1	20220207_RoVe_1_LUH-GFP8-1INPUT.raw	1	label free	Q Exactive Plus	Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 23	Arabidopsis thaliana	Ler	pLUH:LUH-GFP pAP1:AP1-GR ap1 cal	not available	not available	inflorescence	8 DAI	2	INPUT	LC-MS/MS DDA	1	20220207_RoVe_2_LUH-GFP8-2INPUT.raw	1	label free	Q Exactive Plus	Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
sample 24	Arabidopsis thaliana	Ler	pLUH:LUH-GFP pAP1:AP1-GR ap1 cal	not available	not available	inflorescence	8 DAI	3	INPUT	LC-MS/MS DDA	1	20220207_RoVe_3_LUH-GFP8-3INPUT.raw	1	label free	Q Exactive Plus	Trypsin	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0
