source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[correctionfactor]	comment[cleavage agent details]	comment[instrument]	comment[label]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
sham_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	2	ELB0427-0034_018	proteomic profiling by mass spectrometry	ELB0427-0034_018.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	3	ELB0427-0034_021	proteomic profiling by mass spectrometry	ELB0427-0034_021.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	4	ELB0427-0034_025	proteomic profiling by mass spectrometry	ELB0427-0034_025.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	5	ELB0427-0034_026	proteomic profiling by mass spectrometry	ELB0427-0034_026.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	2	ELB0427-0034_027	proteomic profiling by mass spectrometry	ELB0427-0034_027.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	3	ELB0427-0034_028	proteomic profiling by mass spectrometry	ELB0427-0034_028.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	6	ELB0427-0034_033	proteomic profiling by mass spectrometry	ELB0427-0034_033.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	4	ELB0427-0034_035	proteomic profiling by mass spectrometry	ELB0427-0034_035.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	7	ELB0427-0034_037	proteomic profiling by mass spectrometry	ELB0427-0034_037.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	5	ELB0427-0034_041	proteomic profiling by mass spectrometry	ELB0427-0034_041.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	8	ELB0427-0034_049	proteomic profiling by mass spectrometry	ELB0427-0034_049.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	6	ELB0427-0034_052	proteomic profiling by mass spectrometry	ELB0427-0034_052.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	9	ELB0427-0034_055	proteomic profiling by mass spectrometry	ELB0427-0034_055.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	7	ELB0427-0034_056	proteomic profiling by mass spectrometry	ELB0427-0034_056.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	8	ELB0427-0034_058	proteomic profiling by mass spectrometry	ELB0427-0034_058.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	10	ELB0427-0034_059	proteomic profiling by mass spectrometry	ELB0427-0034_059.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	9	ELB0427-0034_063	proteomic profiling by mass spectrometry	ELB0427-0034_063.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	10	ELB0427-0034_066	proteomic profiling by mass spectrometry	ELB0427-0034_066.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	11	ELB0427-0034_067	proteomic profiling by mass spectrometry	ELB0427-0034_067.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	11	ELB0427-0034_070	proteomic profiling by mass spectrometry	ELB0427-0034_070.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	12	ELB0427-0034_071	proteomic profiling by mass spectrometry	ELB0427-0034_071.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_2	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	12	ELB0427-0034_072	proteomic profiling by mass spectrometry	ELB0427-0034_072.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_4	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	5	ELB0451-0054_001_1_SHAM_CTRL_i009	proteomic profiling by mass spectrometry	ELB0451-0054_001_1_SHAM_CTRL_i009.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_4	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	6	ELB0451-0054_002_1_SHAM_CTRL_i019	proteomic profiling by mass spectrometry	ELB0451-0054_002_1_SHAM_CTRL_i019.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_4	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	1	ELB0451-0054_003_1_SHAM_CTRL_i002	proteomic profiling by mass spectrometry	ELB0451-0054_003_1_SHAM_CTRL_i002.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_4	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	3	ELB0451-0054_004_1_SHAM_CTRL_i007	proteomic profiling by mass spectrometry	ELB0451-0054_004_1_SHAM_CTRL_i007.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_4	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	4	ELB0451-0054_005_1_SHAM_CTRL_i008	proteomic profiling by mass spectrometry	ELB0451-0054_005_1_SHAM_CTRL_i008.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_4	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	2	ELB0451-0054_006_1_SHAM_CTRL_i005	proteomic profiling by mass spectrometry	ELB0451-0054_006_1_SHAM_CTRL_i005.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_4	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	2	ELB0451-0054_007_2_Vehicle_i011	proteomic profiling by mass spectrometry	ELB0451-0054_007_2_Vehicle_i011.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_4	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	6	ELB0451-0054_008_2_Vehicle_i025	proteomic profiling by mass spectrometry	ELB0451-0054_008_2_Vehicle_i025.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_4	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	3	ELB0451-0054_009_2_Vehicle_i013	proteomic profiling by mass spectrometry	ELB0451-0054_009_2_Vehicle_i013.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_4	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	4	ELB0451-0054_010_2_Vehicle_i014	proteomic profiling by mass spectrometry	ELB0451-0054_010_2_Vehicle_i014.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_4	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	5	ELB0451-0054_011_2_Vehicle_i016	proteomic profiling by mass spectrometry	ELB0451-0054_011_2_Vehicle_i016.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
aldara_4	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	1	ELB0451-0054_012_2_Vehicle_i010	proteomic profiling by mass spectrometry	ELB0451-0054_012_2_Vehicle_i010.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_3	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	1	Sham_Naive-1_34	proteomic profiling by mass spectrometry	Sham_Naive-1_34.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
sham_3	mus musculus	skin	not applicable	not applicable	not appliccable	not applicable	2	Sham_Naive-2_35	proteomic profiling by mass spectrometry	Sham_Naive-2_35.raw	1	1	1	Trypsin	Q Exactive HF-X	label free	NT=data-independent acquisition;AC=PRIDE:0000450	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0
